code,description,classification
1A63,Latent syphilis unspecified as early or late,not a valid entry
1A6Z,Syphilis unspecified,not a valid entry
1A70.00,Gonorrhoea of penis,common disease
1A70.0Y,Other specified gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,not a valid entry
1A70.0Z,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess unspecified,not a valid entry
1A70.1,Gonococcal infection of lower genitourinary tract with periurethral or accessory gland abscess,emergency disease
1A70.Y,Gonococcal infection of other specified genitourinary organ,not a valid entry
1A70.Z,Gonococcal genitourinary infection unspecified,not a valid entry
1A71,Gonococcal pelviperitonitis,emergency disease
1A72.0,Gonococcal infection of musculoskeletal system,emergency disease
1A72.1,Gonococcal infection of rectum,common disease
1A72.2,Gonococcal infection of anus,common disease
1A72.3,Gonococcal pharyngitis,common disease
1A72.4,Gonococcal infection of eye,emergency disease
1A72.Y,Gonococcal infection of other specified sites,not a valid entry
1A73,Disseminated gonococcal infection,emergency disease
1A7Z,Gonococcal infection unspecified,not a valid entry
1A80,Chlamydial lymphogranuloma,rare disease
1A81.0,Chlamydial infection of lower genitourinary tract,common disease
1A81.1,Chlamydial infection of internal reproductive organs,common disease
1A81.Y,Non-ulcerative sexually transmitted chlamydial infection of other specified site,not a valid entry
1A81.Z,Non-ulcerative sexually transmitted chlamydial infection of unspecified site,not a valid entry
1A8Y,Other specified sexually transmissible infections due to chlamydia,not a valid entry
1A8Z,Sexually transmissible infections due to chlamydia unspecified,not a valid entry
1A90,Chancroid,common disease
1A91,Granuloma inguinale,rare disease
1A92,Trichomoniasis,common disease
1A93,Sexually transmissible infestations,not a valid entry
1A94.0,Herpes simplex infection of genitalia or urogenital tract,common disease
1A94.1,Herpes simplex infection of perianal skin or rectum,common disease
1A94.Z,Anogenital herpes simplex infection without further specification,not a valid entry
1A95.0,Anal warts,common disease
1A95.1,Genital warts,common disease
1A95.2,Extragenital condylomata acuminata,common disease
1A9Y,Other specified predominantly sexually transmitted infections,not a valid entry
1A9Z,Predominantly sexually transmitted infections unspecified,not a valid entry
1B10.0,Respiratory tuberculosis confirmed,common disease
1B10.1,Respiratory tuberculosis not confirmed,not a valid entry
1B10.Z,Respiratory tuberculosis without mention of bacteriological or histological confirmation,not a valid entry
1B11.0,Tuberculous meningitis,emergency disease
1B11.1,Tuberculous meningoencephalitis,emergency disease
1B11.2,Meningeal tuberculoma,rare disease
1B11.3,Tuberculous granuloma of brain,rare disease
1B11.4,Tuberculous granuloma of the meninges,rare disease
1B11.Y,Tuberculosis of other specified part of nervous system,not a valid entry
1B11.Z,Tuberculosis of the nervous system unspecified,not a valid entry
1B12.0,Tuberculosis of heart,rare disease
1B12.1,Tuberculosis of eye,rare disease
1B12.20,Tuberculosis of inner ear,rare disease
1B12.21,Tuberculosis of middle ear,rare disease
1B12.2Y,Other specified tuberculosis of ear,not a valid entry
1B12.2Z,Tuberculosis of ear unspecified,not a valid entry
1B12.3,Tuberculosis of endocrine glands,rare disease
1B12.40,Tuberculosis of bones or joints,rare disease
1B12.41,Tuberculous myositis,rare disease
1B12.4Y,Tuberculosis of other specified part of the musculoskeletal system,not a valid entry
1B12.4Z,Tuberculosis of the musculoskeletal system unspecified,not a valid entry
1B12.5,Tuberculosis of the genitourinary system,rare disease
1B12.6,Tuberculous peripheral lymphadenopathy,rare disease
1B12.7,Tuberculosis of the digestive system,rare disease
1B12.8,Cutaneous tuberculosis,rare disease
1B12.Y,Tuberculosis of other specified organ or site,not a valid entry
1B13.0,Acute miliary tuberculosis of a single specified site,emergency disease
1B13.1,Acute miliary tuberculosis of multiple sites,emergency disease
1B13.Y,Other specified miliary tuberculosis,not a valid entry
1B13.Z,Miliary tuberculosis unspecified,not a valid entry
1B14,Latent tuberculosis,not a valid entry
1B1Y,Other specified tuberculosis,not a valid entry
1B1Z,Tuberculosis unspecified,not a valid entry
1B20.0,Paucibacillary leprosy,rare disease
1B20.1,Multibacillary leprosy,rare disease
1B20.20,Type I leprosy reaction,rare disease
1B20.21,Type II leprosy reaction,rare disease
1B20.3,Complications of leprosy,not a valid entry
1B20.Z,Leprosy unspecified,not a valid entry
1B21.0,Pulmonary infection due to non-tuberculosis mycobacterium,common disease
1B21.1,Non-tuberculous mycobacterial lymphadenitis,rare disease
1B21.20,Mycobacterium ulcerans infection,rare disease
1B21.2Y,Cutaneous infection due to other specified non-tuberculous mycobacteria,not a valid entry
1B21.2Z,Cutaneous infection due to unspecified non-tuberculous mycobacteria,not a valid entry
1B21.3,Disseminated non-tuberculous mycobacterial infection,rare disease
1B21.4,Gastrointestinal non-tuberculous mycobacterial infection,rare disease
1B21.Y,Non-tuberculous mycobacterial infection of other specified site,not a valid entry
1B21.Z,Non-tuberculous mycobacterial infection of unspecified site,not a valid entry
1B2Y,Other specified mycobacterial diseases,not a valid entry
1B2Z,Mycobacterial diseases unspecified,not a valid entry
1B40.0,Rheumatic arthritis acute or subacute,common disease
1B40.Y,Other specified acute rheumatic fever without mention of heart involvement,not a valid entry
1B40.Z,Acute rheumatic fever without mention of heart involvement unspecified,not a valid entry
1B41.0,Acute rheumatic pericarditis,emergency disease
1B41.10,Rheumatic aortitis,emergency disease
1B41.1Y,Other specified acute rheumatic endocarditis,not a valid entry
1B41.1Z,Acute rheumatic endocarditis unspecified,not a valid entry
1B41.2,Acute rheumatic myocarditis,emergency disease
1B41.Y,Other acute rheumatic heart disease,not a valid entry
1B41.Z,Acute rheumatic heart disease unspecified,not a valid entry
1B42,Rheumatic chorea,rare disease
1B50,Scarlet fever,common disease
1B51,Streptococcal pharyngitis,common disease
1B52.0,Streptococcal toxic shock syndrome,emergency disease
1B52.1,Staphylococcal toxic shock syndrome,emergency disease
1B53,Meningitis due to Streptococcus,emergency disease
1B54,Meningitis due to Staphylococcus,emergency disease
1B5Y,Other specified staphylococcal or streptococcal diseases,not a valid entry
1B5Z,Staphylococcal or streptococcal diseases unspecified,not a valid entry
1B70.00,Erysipelas of face,common disease
1B70.01,Erysipelas of external ear,common disease
1B70.02,Erysipelas of lower limb,common disease
1B70.0Y,Erysipelas of other specified site,not a valid entry
1B70.1,Streptococcal cellulitis of skin,common disease
1B70.2,Staphylococcal cellulitis of skin,common disease
1B70.3,Ascending bacterial lymphangitis,common disease
1B70.Y,Bacterial cellulitis or lymphangitis due to other specified bacterium,not a valid entry
1B70.Z,Bacterial cellulitis or lymphangitis due to unspecified bacterium,not a valid entry
1B71.0,Streptococcal necrotising fasciitis,emergency disease
1B71.1,Polymicrobial necrotising fasciitis,emergency disease
1B71.2,Neonatal necrotising fasciitis,emergency disease
1B71.Y,Necrotising fasciitis due to other specified bacterial infection,not a valid entry
1B71.Z,Necrotising fasciitis unspecified,not a valid entry
1B72.0,Bullous impetigo,common disease
1B72.1,Non-bullous impetigo,common disease
1B72.2,Secondary impetiginization of the skin,common disease
1B72.Y,Other specified impetigo,not a valid entry
1B72.Z,Impetigo unspecified,not a valid entry
1B73.0,Streptococcal ecthyma,common disease
1B73.1,Staphylococcal ecthyma,common disease
1B73.2,Ecthyma gangrenosum,emergency disease
1B73.Y,Other specified ecthyma,not a valid entry
1B73.Z,Ecthyma unspecified,not a valid entry
1B74.0,Staphylococcus aureus superficial folliculitis,common disease
1B74.Y,Superficial bacterial folliculitis due to other specified organism,not a valid entry
1B74.Z,Superficial bacterial folliculitis due to unspecified organism,not a valid entry
1B75.0,Furuncle,common disease
1B75.1,Carbuncle,common disease
1B75.2,Furunculosis,common disease
1B75.3,Pyogenic abscess of the skin,common disease
1B75.4,Chronic deep bacterial folliculitis,common disease
1B7Y,Other specified pyogenic bacterial infection of skin and subcutaneous tissue,not a valid entry
1B90.0,Spirillosis,rare disease
1B90.1,Streptobacillosis,rare disease
1B91,Leptospirosis,common disease
1B92,Glanders,rare disease
1B93.0,Bubonic plague,emergency disease
1B93.1,Cellulocutaneous plague,emergency disease
1B93.2,Pneumonic plague,emergency disease
1B93.3,Plague meningitis,emergency disease
1B93.Y,Other specified plague,not a valid entry
1B93.Z,Plague unspecified,not a valid entry
1B94.0,Ulceroglandular tularaemia,rare disease
1B94.Y,Other specified tularaemia,not a valid entry
1B94.Z,Tularaemia unspecified,not a valid entry
1B95,Brucellosis,rare disease
1B96,Erysipeloid,common disease
1B97,Anthrax,emergency disease
1B98,Cat-scratch disease,common disease
1B99,Pasteurellosis,common disease
1B9A,Extraintestinal yersiniosis,rare disease
1B9Z,Unspecified zoonotic bacterial disease,not a valid entry
1C10.0,Pulmonary actinomycosis,rare disease
1C10.1,Abdominal actinomycosis,rare disease
1C10.2,Cervicofacial actinomycosis,rare disease
1C10.3,Primary cutaneous actinomycosis,rare disease
1C10.Y,Other specified forms of actinomycosis,not a valid entry
1C10.Z,Actinomycosis unspecified,not a valid entry
1C11.00,Oroya fever,rare disease
1C11.01,Verruga peruana,rare disease
1C11.1,Trench fever,rare disease
1C11.Y,Other forms of bartonellosis,not a valid entry
1C12.0,Whooping cough due to Bordetella pertussis,common disease
1C12.1,Whooping cough due to Bordetella parapertussis,common disease
1C12.Y,Other specified whooping cough,not a valid entry
1C12.Z,Whooping cough unspecified,not a valid entry
1C13,Tetanus,emergency disease
1C14,Obstetrical tetanus,emergency disease
1C15,Tetanus neonatorum,emergency disease
1C16,Gas gangrene,emergency disease
1C17.00,Postdiphtheritic paralysis of uvula,emergency disease
1C17.0Y,Other specified pharyngeal or tonsillar diphtheria,not a valid entry
1C17.0Z,Pharyngeal or tonsillar diphtheria unspecified,not a valid entry
1C17.1,Nasal diphtheria,emergency disease
1C17.2,Laryngeal diphtheria,emergency disease
1C17.3,Cutaneous diphtheria,emergency disease
1C17.Y,Other specified diphtheria,not a valid entry
1C17.Z,Diphtheria unspecified,not a valid entry
1C18,Brazilian purpuric fever,rare disease
1C19.0,Nonpneumonic Legionnaires' disease,common disease
1C1A.0,Cutaneous listeriosis,common disease
1C1A.1,Listerial meningitis or meningoencephalitis,emergency disease
1C1A.Y,Other specified listeriosis,not a valid entry
1C1A.Z,Listeriosis unspecified,not a valid entry
1C1B.0,Pulmonary nocardiosis,rare disease
1C1B.1,Cutaneous nocardiosis,rare disease
1C1B.Y,Other specified forms of nocardiosis,not a valid entry
1C1B.Z,Nocardiosis unspecified,not a valid entry
1C1C.0,Meningococcal meningitis,emergency disease
1C1C.1,Waterhouse-Friderichsen syndrome,emergency disease
1C1C.20,Acute meningococcaemia,emergency disease
1C1C.2Y,Other specified meningococcaemia,not a valid entry
1C1C.2Z,Meningococcaemia unspecified,not a valid entry
1C1C.Y,Other specified meningococcal disease,not a valid entry
1C1C.Z,Meningococcal disease unspecified,not a valid entry
1C1D.0,Primary yaws,rare disease
1C1D.1,Secondary yaws,rare disease
1C1D.2,Tertiary yaws,rare disease
1C1D.3,Latent yaws,rare disease
1C1E.0,Primary lesions of pinta,rare disease
1C1E.1,Intermediate lesions of pinta,rare disease
1C1E.2,Late lesions of pinta,rare disease
1C1E.3,Mixed lesions of pinta,rare disease
1C1F,Endemic non-venereal syphilis,rare disease
1C1G.0,Early cutaneous Lyme borreliosis,common disease
1C1G.10,Lyme neuroborreliosis,rare disease
1C1G.11,Lyme carditis,rare disease
1C1G.12,Ophthalmic Lyme borreliosis,rare disease
1C1G.13,Lyme arthritis,common disease
1C1G.14,Late cutaneous Lyme borreliosis,rare disease
1C1G.1Y,Other specified disseminated Lyme borreliosis,not a valid entry
1C1G.1Z,Disseminated Lyme borreliosis unspecified,not a valid entry
1C1G.Y,Other specified Lyme borreliosis,not a valid entry
1C1H.0,Other Vincent infections,not a valid entry
1C1H.Y,Other specified necrotising ulcerative gingivitis,not a valid entry
1C1H.Z,Necrotising ulcerative gingivitis unspecified,not a valid entry
1C1J.0,Tick-borne relapsing fever,rare disease
1C1J.1,Louse-borne relapsing fever,rare disease
1C20,Chlamydial conjunctivitis,common disease
1C21,Chlamydial peritonitis,rare disease
1C22,Infections due to Chlamydia psittaci,rare disease
1C23.0,Initial stage of trachoma,not a valid entry
1C23.1,Active stage of trachoma,not a valid entry
1C23.Y,Other specified trachoma,not a valid entry
1C23.Z,Trachoma unspecified,not a valid entry
1C2Y,Other specified diseases due to chlamydiae,not a valid entry
1C2Z,Other diseases due to chlamydiae unspecified,not a valid entry
1C30.0,Epidemic louse-borne typhus fever due to Rickettsia prowazekii,rare disease
1C30.1,Recrudescent typhus,rare disease
1C30.2,Typhus fever due to Rickettsia typhi,rare disease
1C30.3,Typhus fever due to Orientia tsutsugamushi,rare disease
1C30.Y,Other specified typhus fever,not a valid entry
1C30.Z,Typhus fever unspecified,not a valid entry
1C31.0,Spotted fever due to Rickettsia rickettsii,rare disease
1C31.1,Spotted fever due to Rickettsia conorii,rare disease
1C31.2,Spotted fever due to Rickettsia sibirica,rare disease
1C31.3,Spotted fever due to Rickettsia australis,rare disease
1C31.Y,Other specified spotted fever,not a valid entry
1C31.Z,Spotted fever unspecified,not a valid entry
1C32,Rickettsialpox,rare disease
1C33,Q fever,rare disease
1C3Y,Other specified rickettsioses,not a valid entry
1C3Z,Rickettsioses unspecified,not a valid entry
1C40,Campylobacteriosis,common disease
1C41,Bacterial infection of unspecified site,not a valid entry
1C42,Melioidosis,rare disease
1C43,Actinomycetoma,rare disease
1C44,Non-pyogenic bacterial infections of the skin,not a valid entry
1C4Y,Other specified bacterial diseases,not a valid entry
1C4Z,Unspecified bacterial disease,not a valid entry
1C60.0,HIV disease clinical stage 1 associated with tuberculosis,emergency disease
1C60.1,HIV disease clinical stage 2 associated with tuberculosis,emergency disease
1C60.2,HIV disease clinical stage 3 associated with tuberculosis,emergency disease
1C60.30,Kaposi sarcoma associated with human immunodeficiency virus disease associated with tuberculosis,emergency disease
1C60.3Y,Other specified HIV disease clinical stage 4 associated with tuberculosis,not a valid entry
1C60.3Z,HIV disease clinical stage 4 associated with tuberculosis unspecified,not a valid entry
1C60.Z,Human immunodeficiency virus disease associated with tuberculosis clinical stage unspecified,not a valid entry
1C61.0,HIV disease clinical stage 1 associated with malaria,emergency disease
1C61.1,HIV disease clinical stage 2 associated with malaria,emergency disease
1C61.2,HIV disease clinical stage 3 associated with malaria,emergency disease
1C61.30,Kaposi sarcoma associated with human immunodeficiency virus disease associated with malaria,emergency disease
1C61.3Y,Other specified HIV disease clinical stage 4 associated with malaria,not a valid entry
1C61.3Z,HIV disease clinical stage 4 associated with malaria unspecified,not a valid entry
1C61.Z,Human immunodeficiency virus disease associated with malaria clinical stage unspecified,not a valid entry
1C62.0,HIV disease clinical stage 1 without mention of tuberculosis or malaria,emergency disease
1C62.1,HIV disease clinical stage 2 without mention of tuberculosis or malaria,emergency disease
1C62.2,HIV disease clinical stage 3 without mention of tuberculosis or malaria,emergency disease
1C62.3,HIV disease clinical stage 4 without mention of tuberculosis or malaria,emergency disease
1C62.Z,Human immunodeficiency virus disease without mention of associated disease or condition clinical stage unspecified,not a valid entry
1C80,Viral encephalitis not elsewhere classified,not a valid entry
1C81,Acute poliomyelitis,emergency disease
1C82,Rabies,emergency disease
1C83,Western equine encephalitis,rare disease
1C84,Eastern equine encephalitis,rare disease
1C85,Japanese encephalitis,rare disease
1C86,St Louis encephalitis,rare disease
1C87,Rocio viral encephalitis,rare disease
1C88,Murray Valley encephalitis,rare disease
1C89,Far Eastern tick-borne encephalitis,rare disease
1C8A,Central European tick-borne encephalitis,rare disease
1C8B,California encephalitis,rare disease
1C8C,Venezuelan equine encephalitis,rare disease
1C8D,La Crosse encephalitis,rare disease
1C8E.2,Meningitis due to adenovirus,emergency disease
1C8E.1,Enteroviral meningitis,emergency disease
1C8E.Y,Other specified viral meningitis not elsewhere classified,not a valid entry
1C8E.Z,Viral meningitis not elsewhere classified unspecified,not a valid entry
1C8F,Lymphocytic choriomeningitis,rare disease
1C8Y,Other specified viral infections of the central nervous system,not a valid entry
1C8Z,Viral infections of the central nervous system unspecified,not a valid entry
1D00.0,Bacterial encephalitis,emergency disease
1D00.1,Fungal encephalitis,emergency disease
1D00.2,Parasitic or protozoal encephalitis,emergency disease
1D00.Y,Other specified infectious encephalitis not elsewhere classified,not a valid entry
1D00.Z,Infectious encephalitis not elsewhere classified unspecified,not a valid entry
1D01.00,Meningitis due to Haemophilus influenzae,emergency disease
1D01.0Y,Other specified bacterial meningitis,not a valid entry
1D01.0Z,Bacterial meningitis unspecified,not a valid entry
1D01.10,Meningitis due to Cryptococcus neoformans,emergency disease
1D01.1Y,Other specified fungal meningitis,not a valid entry
1D01.1Z,Fungal meningitis unspecified,not a valid entry
1D01.2,Parasitic or protozoal meningitis,emergency disease
1D01.3,Benign recurrent meningitis,rare disease
1D01.Y,Other specified infectious meningitis not elsewhere classified,not a valid entry
1D01.Z,Infectious meningitis not elsewhere classified unspecified,not a valid entry
1D02.0,Bacterial myelitis,emergency disease
1D02.1,Viral myelitis,emergency disease
1D02.2,Fungal myelitis,emergency disease
1D02.3,Parasitic myelitis,emergency disease
1D02.Y,Other specified infectious myelitis not elsewhere classified,not a valid entry
1D02.Z,Infectious myelitis not elsewhere classified unspecified,not a valid entry
1D03.0,Intraspinal intramedullary abscess,emergency disease
1D03.1,Intraspinal subdural abscess,emergency disease
1D03.2,Intraspinal extradural abscess,emergency disease
1D03.30,Deep cerebral hemispheric abscess,emergency disease
1D03.31,Abscess of the corpus callosum,emergency disease
1D03.32,Pituitary abscess,emergency disease
1D03.33,Multiple or widespread intracranial abscess,emergency disease
1D03.3Y,Other specified intracranial abscess,not a valid entry
1D03.3Z,Intracranial abscess unspecified,not a valid entry
1D03.4,Intraspinal epidural abscess,emergency disease
1D03.5,Spinal cord abscess,emergency disease
1D03.Y,Other specified infectious abscess of the central nervous system,not a valid entry
1D03.Z,Infectious abscess of the central nervous system unspecified,not a valid entry
1D04.0,Parasitic intracerebral granuloma,rare disease
1D04.10,Fungal intracranial granuloma,rare disease
1D04.1Y,Other specified intracranial granuloma,not a valid entry
1D04.1Z,Intracranial granuloma unspecified,not a valid entry
1D04.2,Intraspinal intramedullary granuloma,rare disease
1D04.3,Intraspinal subdural granuloma,rare disease
1D04.4,Intraspinal extradural granuloma,rare disease
1D04.5,Intraspinal epidural granuloma,rare disease
1D04.Y,Other specified infectious granulomas of the central nervous system,not a valid entry
1D04.Z,Infectious granulomas of the central nervous system unspecified,not a valid entry
1D05.0,Epidural infectious cyst,rare disease
1D05.1,Subdural infectious cyst,rare disease
1D05.Y,Other specified infectious cysts of the central nervous system,not a valid entry
1D05.Z,Infectious cysts of the central nervous system unspecified,not a valid entry
1D0Y,Other specified non-viral and unspecified infections of the central nervous system,not a valid entry
1D0Z,Non-viral and unspecified infections of the central nervous system unspecified,not a valid entry
1D20,Dengue without warning signs,common disease
1D21,Dengue with warning signs,emergency disease
1D22,Severe dengue,emergency disease
1D2Z,Dengue fever unspecified,not a valid entry
1D40,Chikungunya virus disease,common disease
1D41,Colorado tick fever,rare disease
1D42,O'nyong-nyong fever,rare disease
1D43,Oropouche virus disease,rare disease
1D44,Rift Valley fever,rare disease
1D45,Sandfly fever,rare disease
1D46,West Nile virus infection,rare disease
1D47,Yellow fever,emergency disease
1D48,Zika virus disease,common disease
1D49,Crimean-Congo haemorrhagic fever,emergency disease
1D4A,Omsk haemorrhagic fever,rare disease
1D4B,Kyasanur Forest disease,rare disease
1D4C,Alkhurma haemorrhagic fever,rare disease
1D4D,Ross River disease,rare disease
1D4E,Severe fever with thrombocytopenia syndrome,emergency disease
1D4Y,Other specified arthropod-borne viral fevers,not a valid entry
1D4Z,Arthropod-borne viral fever virus unspecified,not a valid entry
1D60.00,Bundibugyo virus disease,rare disease
1D60.01,Ebola virus disease,emergency disease
1D60.02,Sudan virus disease,emergency disease
1D60.03,Atypical Ebola disease,emergency disease
1D60.0Y,Other specified Ebola disease,not a valid entry
1D60.0Z,Ebola disease virus unspecified,not a valid entry
1D60.10,Marburg virus disease,emergency disease
1D60.11,Atypical Marburg disease,emergency disease
1D60.1Y,Other specified Marburg disease,not a valid entry
1D60.1Z,Marburg disease virus unspecified,not a valid entry
1D60.Y,Other specified filovirus disease,not a valid entry
1D60.Z,Filovirus disease virus unspecified,not a valid entry
1D61.0,Argentinian haemorrhagic fever,rare disease
1D61.1,Bolivian haemorrhagic fever,rare disease
1D61.2,Lassa fever,rare disease
1D61.3,Venezuelan haemorrhagic fever,rare disease
1D61.Y,Other specified arenavirus disease,not a valid entry
1D61.Z,Arenavirus disease unspecified,not a valid entry
1D62.0,Haemorrhagic fever with renal syndrome,rare disease
1D62.1,Hantavirus pulmonary syndrome,emergency disease
1D62.2,Atypical hantavirus disease,not a valid entry
1D62.Y,Other specified hantavirus disease,not a valid entry
1D62.Z,Hantavirus disease unspecified,not a valid entry
1D63,Henipavirus encephalitis,emergency disease
1D64,Middle East respiratory syndrome,emergency disease
1D65,Severe acute respiratory syndrome,emergency disease
1D6Y,Other specified zoonotic viral diseases,not a valid entry
1D6Z,Zoonotic viral disease virus unspecified,not a valid entry
1D80.0,Mumps without complication,common disease
1D80.1,Orchitis due to mumps virus,common disease
1D80.2,Meningitis due to mumps virus,emergency disease
1D80.3,Encephalitis due to mumps virus,emergency disease
1D80.4,Pancreatitis due to mumps virus,emergency disease
1D80.Y,Other specified mumps,not a valid entry
1D81.0,Mononucleosis due to Epstein-Barr virus,common disease
1D81.1,Mononucleosis due to cytomegalovirus,common disease
1D81.Y,Other specified infectious mononucleosis,not a valid entry
1D81.Z,Infectious mononucleosis unspecified,not a valid entry
1D82.0,Cytomegaloviral hepatitis,rare disease
1D82.1,Cytomegaloviral pancreatitis,rare disease
1D82.Y,Other specified cytomegaloviral disease,not a valid entry
1D82.Z,Cytomegaloviral disease unspecified,not a valid entry
1D83,Epidemic myalgia,common disease
1D84.0,Conjunctivitis due to adenovirus,common disease
1D84.1,Acute epidemic haemorrhagic conjunctivitis,common disease
1D84.Y,Other specified viral conjunctivitis,not a valid entry
1D84.Z,Viral conjunctivitis unspecified,not a valid entry
1D85.0,Dilated cardiomyopathy secondary to viral myocarditis,not a valid entry
1D85.1,Acute viral carditis,emergency disease
1D85.2,Chronic viral carditis,not a valid entry
1D85.3,Aseptic myocarditis of newborn,emergency disease
1D85.4,Coxsackie carditis,emergency disease
1D85.Y,Other specified viral carditis,not a valid entry
1D85.Z,Viral carditis unspecified,not a valid entry
1D86,Viral haemorrhagic fever not elsewhere classified,not a valid entry
1D90,Adenovirus infection of unspecified site,not a valid entry
1D91,Enterovirus infection of unspecified site,not a valid entry
1D92,Coronavirus infection unspecified site,not a valid entry
1D93,Parvovirus infection of unspecified site,not a valid entry
1D9Y,Other viral infections of unspecified site,not a valid entry
1D9Z,Unspecified viral infection of unspecified site,not a valid entry
1E1Y,Other specified viral diseases,not a valid entry
1E1Z,Unspecified viral disease,not a valid entry
1E30,Influenza due to identified seasonal influenza virus,common disease
1E31,Influenza due to identified zoonotic or pandemic influenza virus,common disease
1E32,Influenza virus not identified,not a valid entry
1E50.0,Acute hepatitis A,common disease
1E50.1,Acute hepatitis B,common disease
1E50.2,Acute hepatitis C,common disease
1E50.3,Acute hepatitis D,common disease
1E50.4,Acute hepatitis E,common disease
1E50.Y,Other specified acute viral hepatitis,not a valid entry
1E50.Z,Acute viral hepatitis unspecified,not a valid entry
1E51.00,Chronic hepatitis B with human immunodeficiency virus co-infection,common disease
1E51.0Y,Other specified chronic hepatitis B,not a valid entry
1E51.0Z,Chronic hepatitis B unspecified,not a valid entry
1E51.1,Chronic hepatitis C,common disease
1E51.2,Chronic hepatitis D,common disease
1E51.3,Chronic hepatitis E,common disease
1E51.Y,Other specified chronic viral hepatitis,not a valid entry
