name,description,prevalence_percentage,acute_chronic,category
Type 1 Diabetes,An autoimmune condition where the immune system attacks insulin-producing cells in the pancreas.,0.3,Chronic,immune system diseases
Sjögren's Syndrome,An autoimmune disorder characterized by dry eyes and dry mouth due to the immune system attacking glands.,0.4,Chronic,immune system diseases
Type 2 Diabetes,A chronic condition that affects the way the body processes blood sugar (glucose).,10.5,Chronic,metabolic diseases
Obesity,A complex disease involving an excessive amount of body fat.,42.4,Chronic,metabolic diseases
Metabolic Syndrome,"A cluster of conditions that increase the risk of heart disease, stroke, and diabetes.",34.2,Chronic,metabolic diseases
Hypothyroidism,A condition in which the thyroid gland doesn't produce enough thyroid hormones.,4.6,Chronic,metabolic diseases
Cushing's Syndrome,A hormonal disorder caused by prolonged exposure of the body's tissues to high levels of cortisol.,0.7,Chronic,metabolic diseases
Gout,"A form of arthritis characterized by severe pain, redness, and tenderness in joints.",3.9,Both,metabolic diseases
Phenylketonuria (PKU),A rare inherited disorder that causes an amino acid called phenylalanine to build up in the body.,0.01,Chronic,metabolic diseases
Galactosemia,A genetic disorder that affects how the body processes a simple sugar called galactose.,0.01,Chronic,metabolic diseases
Cystic Fibrosis,"A genetic disorder that affects the lungs and digestive system, characterized by thick mucus production.",0.03,Chronic,genetic diseases
Huntington's Disease,"A progressive brain disorder caused by a single defective gene on chromosome 4, leading to movement, cognitive, and psychiatric symptoms.",0.007,Chronic,genetic diseases
Duchenne Muscular Dystrophy,"A severe type of muscular dystrophy caused by a mutation in the dystrophin gene, leading to muscle degeneration.",0.0002,Chronic,genetic diseases
Tay-Sachs Disease,"A genetic disorder that results in the destruction of nerve cells in the brain and spinal cord, caused by a deficiency of the enzyme Hex-A.",0.0001,Chronic,genetic diseases
Marfan Syndrome,"A genetic disorder that affects the body's connective tissue, leading to features such as tall stature and heart problems.",0.0005,Chronic,genetic diseases
Neurofibromatosis,"A genetic disorder that causes tumors to grow on nerves, leading to skin changes and bone deformities.",0.001,Chronic,genetic diseases
Albinism,"A genetic condition characterized by the absence of melanin pigment in the skin, hair, and eyes.",0.001,Chronic,genetic diseases
Down Syndrome,"A genetic disorder caused by the presence of an extra chromosome 21, leading to developmental delays and physical features.",0.001,Chronic,genetic diseases
Multiple Sclerosis,"A disease that affects the central nervous system, leading to a range of neurological symptoms.",0.1,Chronic,autoimmune diseases
Lupus,A systemic autoimmune disease that occurs when the body's immune system attacks its own tissues and organs.,0.2,Chronic,autoimmune diseases
Alzheimer's Disease,"A progressive neurological disorder that causes brain cells to degenerate and die, leading to memory loss and cognitive decline.",6.2,Chronic,neurological diseases
Parkinson's Disease,"A progressive neurological disorder that affects movement, causing tremors, stiffness, and difficulty with balance and coordination.",1.0,Chronic,neurological diseases
Dystonia,A movement disorder characterized by involuntary muscle contractions that cause repetitive or twisting movements.,0.1,Chronic,neurological diseases
Essential Tremor,"A nervous system disorder that causes rhythmic shaking, often affecting the hands, head, and voice.",4.0,Chronic,neurological diseases
Hydrocephalus,"A condition in which excess cerebrospinal fluid builds up in the brain's ventricles, potentially leading to increased intracranial pressure.",0.5,Both,neurological diseases
Myasthenia Gravis,"An autoimmune disorder that leads to weakness in the skeletal muscles, which are responsible for breathing and moving parts of the body.",0.02,Chronic,neurological diseases
Migraine,"A neurological condition characterized by intense, debilitating headaches often accompanied by nausea and sensitivity to light and sound.",12.0,Both,neurological diseases
Hyperthyroidism,"A condition where the thyroid gland produces too much thyroid hormone, leading to an acceleration of the body's metabolism.",1.2,Chronic,endocrine diseases
Addison's Disease,"A disorder in which the adrenal glands do not produce enough hormones, leading to symptoms like fatigue, low blood pressure, and darkening of the skin.",0.2,Chronic,endocrine diseases
Diabetes Mellitus Type 1,"An autoimmune condition where the pancreas produces little or no insulin, leading to high blood sugar levels.",0.5,Chronic,endocrine diseases
Diabetes Mellitus Type 2,"A chronic condition that affects the way the body processes blood sugar (glucose), often associated with obesity and insulin resistance.",8.4,Chronic,endocrine diseases
Polycystic Ovary Syndrome (PCOS),"A hormonal disorder causing enlarged ovaries with small cysts, leading to irregular menstrual cycles and other metabolic issues.",6.0,Chronic,endocrine diseases
Acromegaly,"A disorder caused by excess growth hormone, leading to enlarged bones and tissues, often due to a benign tumor on the pituitary gland.",0.0007,Chronic,endocrine diseases
